 Atoms   Atom-Neighbour   Distance
  1   2       2.36062
  1   9       2.50472
  1 276       1.90780
  
  2   1       2.36062
  2  35       2.36280
  
  3   9       2.92584
  3  10       2.82475
  3  19       3.05425
  3  32       2.90232
  3  33       2.96055
  3  73       2.48019
  
  4  19       3.10159
  4  73       2.36200
  4 236       2.37144
  
  5  19       3.06579
  5 222       2.34896
  5 236       2.36223
  
  6   7       2.90188
  6  24       3.11221
  6  26       3.02374
  6  27       2.97245
  6  32       2.90623
  6 222       2.51892
  
  7   6       2.90188
  7  19       2.80700
  7  26       3.05885
  7  32       2.90145
  7 264       2.45351
  
  8   9       2.95397
  8  26       3.10984
  8 250       2.38595
  8 264       2.36701
  
  9   1       2.50472
  9   3       2.92584
  9   8       2.95397
  9  10       2.90235
  9  26       2.89618
  9  32       2.85321
  
 10   3       2.82475
 10   9       2.90235
 10  13       3.03147
 10  31       3.01793
 10  32       2.86557
 10  33       3.11774
 10  34       3.03273
 10 117       2.44587
  
 11  31       3.00374
 11  44       2.37536
 11 117       2.37334
  
 12  28       2.34105
 12  44       2.33543
  
 13  10       3.03147
 13  15       3.06620
 13  27       2.94901
 13  31       2.91043
 13  32       2.94388
 13  33       2.97915
  
 14  15       2.36290
 14  86       1.90970
  
 15  13       3.06620
 15  14       2.36290
 15  16       2.36759
  
 16  15       2.36759
 16  17       2.35815
 16  91       1.88040
  
 17  16       2.35815
 17  18       2.37274
 17  20       2.96363
  
 18  17       2.37274
 18  19       2.54315
 18 145       1.90483
  
 19   3       3.05425
 19   4       3.10159
 19   5       3.06579
 19   7       2.80700
 19  18       2.54315
 19  20       2.99836
 19  32       2.86286
 19  33       3.04677
  
 20  17       2.96363
 20  19       2.99836
 20  21       2.50201
 20  27       2.90959
 20  32       2.86445
 20  33       2.82008
  
 21  20       2.50201
 21  22       2.35484
 21 187       1.91471
  
 22  21       2.35484
 22  23       2.32918
 22  27       3.02953
  
 23  22       2.32918
 23  24       2.35663
 23 158       1.89827
  
 24   6       3.11221
 24  23       2.35663
 24  25       2.36159
 24  27       3.07829
  
 25  24       2.36159
 25  26       2.46696
 25 206       1.90493
  
 26   6       3.02374
 26   7       3.05885
 26   8       3.10984
 26   9       2.89618
 26  25       2.46696
 26  31       2.92307
 26  32       2.83001
  
 27   6       2.97245
 27  13       2.94901
 27  20       2.90959
 27  22       3.02953
 27  24       3.07829
 27  28       2.49262
 27  31       3.00149
 27  32       2.82513
  
 28  12       2.34105
 28  27       2.49262
 28 174       1.90335
  
 29  30       2.32908
 29 250       2.33460
  
 30  29       2.32908
 30  31       2.51479
 30  53       1.89512
  
 31  10       3.01793
 31  11       3.00374
 31  13       2.91043
 31  26       2.92307
 31  27       3.00149
 31  30       2.51479
 31  32       2.83815
  
 32   3       2.90232
 32   6       2.90623
 32   7       2.90145
 32   9       2.85321
 32  10       2.86557
 32  13       2.94388
 32  19       2.86286
 32  20       2.86445
 32  26       2.83001
 32  27       2.82513
 32  31       2.83815
 32  33       2.83733
  
 33   3       2.96055
 33  10       3.11774
 33  13       2.97915
 33  19       3.04677
 33  20       2.82008
 33  32       2.83733
 33 103       2.46047
  
 34  10       3.03273
 34  35       2.36271
 34 103       2.35156
  
 35   2       2.36280
 35  34       2.36271
 35 138       1.88912
  
 36  38       1.50180
 36 282       1.10287
 36 283       1.09878
 36 284       1.09667
  
 37  38       1.21671
  
 38  36       1.50180
 38  37       1.21671
 38  39       1.38316
  
 39  38       1.38316
 39  41       1.45749
 39  46       1.03026
  
 40  42       1.33881
 40 285       1.02443
  
 41  39       1.45749
 41  42       1.53083
 41  43       1.53879
 41  47       1.13779
  
 42  40       1.33881
 42  41       1.53083
 42  45       1.20638
  
 43  41       1.53879
 43  44       1.89322
 43  48       1.10063
 43  49       1.11380
  
 44  11       2.37536
 44  12       2.33543
 44  43       1.89322
  
 45  42       1.20638
  
 46  39       1.03026
  
 47  41       1.13779
  
 48  43       1.10063
  
 49  43       1.11380
  
 50  52       1.20328
  
 51  52       1.34518
 51 345       0.99231
  
 52  50       1.20328
 52  51       1.34518
 52  55       1.53457
  
 53  30       1.89512
 53  54       1.10875
 53  55       1.53299
 53  56       1.10399
  
 54  53       1.10875
  
 55  52       1.53457
 55  53       1.53299
 55  57       1.45547
 55  58       1.13634
  
 56  53       1.10399
  
 57  55       1.45547
 57  59       1.03343
 57  61       1.36959
  
 58  55       1.13634
  
 59  57       1.03343
  
 60  61       1.50780
 60 342       1.10297
 60 343       1.10152
 60 344       1.09574
  
 61  57       1.36959
 61  60       1.50780
 61  62       1.22314
  
 62  61       1.22314
  
 63  65       1.21641
  
 64  68       1.01948
  
 65  63       1.21641
 65  67       1.49876
 65  68       1.38540
  
 66  70       1.10493
  
 67  65       1.49876
 67 294       1.10396
 67 295       1.09911
 67 296       1.09855
  
 68  64       1.01948
 68  65       1.38540
 68  71       1.46337
  
 69  71       1.13641
  
 70  66       1.10493
 70  71       1.52855
 70  72       1.11015
 70  73       1.88911
  
 71  68       1.46337
 71  69       1.13641
 71  70       1.52855
 71  74       1.53265
  
 72  70       1.11015
  
 73   3       2.48019
 73   4       2.36200
 73  70       1.88911
  
 74  71       1.53265
 74  75       1.33975
 74  76       1.20431
  
 75  74       1.33975
 75 297       1.00681
  
 76  74       1.20431
  
 77  78       1.35742
 77 341       1.00054
  
 78  77       1.35742
 78  79       1.19959
 78  81       1.53258
  
 79  78       1.19959
  
 80  81       1.14072
  
 81  78       1.53258
 81  80       1.14072
 81  86       1.53569
 81  87       1.45452
  
 82  84       1.21681
  
 83  86       1.10239
  
 84  82       1.21681
 84  85       1.48815
 84  87       1.39981
  
 85  84       1.48815
 85 338       1.09993
 85 339       1.10342
 85 340       1.10329
  
 86  14       1.90970
 86  81       1.53569
 86  83       1.10239
 86  88       1.10610
  
 87  81       1.45452
 87  84       1.39981
 87  89       1.01590
  
 88  86       1.10610
  
 89  87       1.01590
  
 90  96       1.20549
  
 91  16       1.88040
 91  94       1.11089
 91  97       1.54537
 91  98       1.10269
  
 92  93       1.01456
 92  97       1.45655
 92  99       1.39419
  
 93  92       1.01456
  
 94  91       1.11089
  
 95  99       1.49757
 95 322       1.10538
 95 323       1.10895
 95 324       1.09292
  
 96  90       1.20549
 96  97       1.52737
 96 100       1.35050
  
 97  91       1.54537
 97  92       1.45655
 97  96       1.52737
 97 101       1.13286
  
 98  91       1.10269
  
 99  92       1.39419
 99  95       1.49757
 99 102       1.21652
  
100  96       1.35050
100 325       0.99404
  
101  97       1.13286
  
102  99       1.21652
  
103  33       2.46047
103  34       2.35156
103 105       1.90133
  
104 105       1.10054
  
105 103       1.90133
105 104       1.10054
105 106       1.10771
105 110       1.54185
  
106 105       1.10771
  
107 108       1.35344
107 321       0.99772
  
108 107       1.35344
108 109       1.21278
108 110       1.51928
  
109 108       1.21278
  
110 105       1.54185
110 108       1.51928
110 111       1.13906
110 112       1.46394
  
111 110       1.13906
  
112 110       1.46394
112 113       1.02524
112 114       1.39125
  
113 112       1.02524
  
114 112       1.39125
114 115       1.21524
114 116       1.49583
  
115 114       1.21524
  
116 114       1.49583
116 318       1.10792
116 319       1.09721
116 320       1.09812
  
117  10       2.44587
117  11       2.37334
117 119       1.91100
  
118 119       1.10792
  
119 117       1.91100
119 118       1.10792
119 120       1.10012
119 122       1.53240
  
120 119       1.10012
  
121 123       1.02903
  
122 119       1.53240
122 123       1.45237
122 125       1.53032
122 126       1.14226
  
123 121       1.02903
123 122       1.45237
123 128       1.38392
  
124 125       1.20103
  
125 122       1.53032
125 124       1.20103
125 127       1.36327
  
126 122       1.14226
  
127 125       1.36327
127 310       0.99319
  
128 123       1.38392
128 129       1.21707
128 130       1.49723
  
129 128       1.21707
  
130 128       1.49723
130 311       1.10552
130 312       1.09760
130 313       1.09978
  
131 134       1.50080
131 306       1.10270
131 307       1.10792
131 308       1.09517
  
132 133       1.04089
  
133 132       1.04089
133 134       1.37617
133 137       1.48373
  
134 131       1.50080
134 133       1.37617
134 136       1.22509
  
135 140       1.21523
  
136 134       1.22509
  
137 133       1.48373
137 138       1.53207
137 140       1.53834
137 141       1.12484
  
138  35       1.88912
138 137       1.53207
138 139       1.10367
138 142       1.11343
  
139 138       1.10367
  
140 135       1.21523
140 137       1.53834
140 143       1.32723
  
141 137       1.12484
  
142 138       1.11343
  
143 140       1.32723
143 309       1.02121
  
144 145       1.10585
  
